cell cluster	color code
e0	#a8329e
e1	#3694a8
e2	#000080
e3	#C1A029
e4	#1068be
e5	#ffa5aa
e6	#009203
e7	#e5e022
e8	#FF6347
e9	#AB76AE
e10	#a83250
e11	#fb34cd
e12	#FFD700
e13	#565DFD
e14	#8e0119
e15	#9f50f9
e16	#00FFFF
e17	#ff002a
e18	#8B4513
e19	#6a32a8
e20	#66c102
e21	#4fa9ff
e22	#10686f
e23	#FF1493
e24	#32a88e
e25	#32a852
e26	#999999
e27	#FF8C00
p0	#FF0080
p1	#9400D3
p2	#00E5EE
p3	#ADFF2F
p4	#00FA9A
p5	#FF4500
p6	#FFA500
p7	#F5DEB3
p8	#EE82EE
p9	#1E90FF
p10	#0000CD
p11	#DA70D6
p12	#7FFFD4
p13	#FF69B4
p14	#BA55D3
p15	#DB7093
p16	#DC143C
p17	#FF8C69
p18	#FFC0CB
p19	#FF7F50
p20	#4682B4
p21	#FF00FF
p22	#CD5C5C
p23	#7FFF00
p24	#A9A9A9


